standard_concept_id,source_code,concept_name,concept_type,domain_id,vocabulary_id
40173296,37731902109,Octreotide 10 MG/ML Injectable Suspension [Sandostatin LAR Depot],chemo,Drug,NDC
19007332,49999038036,methotrexate 2.5 MG Oral Tablet,chemo,Drug,NDC
40220871,68001028536,leucovorin 100 MG Injection,chemo,Drug,NDC
2750712,0FB90ZZ,"Excision of Common Bile Duct, Open Approach",surgery,Procedure,ICD10PCS
2744447,0BTG4ZZ,"Resection of Left Upper Lung Lobe, Percutaneous Endoscopic Approach",surgery,Procedure,ICD10PCS
1436683,51862044601,tamoxifen 20 MG Oral Tablet,chemo,Drug,NDC
46276416,J9271,"Injection, pembrolizumab, 1 mg",chemo,Drug,HCPCS
40173224,338130503,mesna 100 MG/ML Injectable Solution [Mesnex],chemo,Drug,NDC
40224789,53489036301,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
40224789,51432026701,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
35604259,10019093479,Irinotecan hydrochloride 20 MG/ML Injectable Solution,chemo,Drug,NDC
35604259,143970101,5 ML irinotecan hydrochloride 20 MG/ML Injection,chemo,Drug,NDC
42629395,42388002326,cabozantinib 60 MG Oral Tablet [Cabometyx],chemo,Drug,NDC
42628956,67457042920,20 ML ifosfamide 50 MG/ML Injection,chemo,Drug,NDC
35605200,55390026701,vinorelbine 10 MG/ML Injectable Solution,chemo,Drug,NDC
2211879,77435,"Stereotactic body radiation therapy, treatment management, per treatment course, to 1 or more lesions, including image guidance, entire course not to exceed 5 fractions",radiation,Procedure,CPT4
1314867,43598046562,azacitidine 100 MG Injection,chemo,Drug,NDC
2753502,0FT20ZZ,"Resection of Left Lobe Liver, Open Approach",surgery,Procedure,ICD10PCS
40224789,58016092600,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
35604082,45963061153,oxaliplatin 50 MG Injection,chemo,Drug,NDC
42628905,63323019420,20 ML idarubicin hydrochloride 1 MG/ML Injection,chemo,Drug,NDC
35606025,C1166,"Injection, cytarabine liposome, 10 mg, depocyt/liposomal cytarabine (Deprecated)",chemo,Drug,HCPCS
1340204,4165F,3-dimensional conformal radiotherapy (3D-CRT) or intensity modulated radiation therapy (IMRT) received (PRCA),radiation,Observation,CPT4
42738038,79900,Provision of therapeutic radiopharmaceutical(s) (Deprecated),radiation,Procedure,CPT4
40164972,60432012616,megestrol acetate 40 MG/ML Oral Suspension,chemo,Drug,NDC
35605202,64370025001,vinorelbine 10 MG/ML Injectable Solution,chemo,Drug,NDC
40218539,C1706,"Needle, brachytherapy, indigo prostate seeding needle (Deprecated)",radiation,Device,HCPCS
2101817,0197T,"Intra-fraction localization and tracking of target or patient motion during delivery of radiation therapy (eg, 3D positional tracking, gating, 3D surface tracking), each fraction of treatment (Deprecated)",radiation,Procedure,CPT4
2781150,0UL74DZ,"Occlusion of Bilateral Fallopian Tubes with Intraluminal Device, Percutaneous Endoscopic Approach",surgery,Procedure,ICD10PCS
40102494,J8700,"Temozolomide, oral, 5 mg",chemo,Drug,HCPCS
2104412,26116,"Excision, tumor, soft tissue, or vascular malformation, of hand or finger, subfascial (eg, intramuscular); less than 1.5 cm",surgery,Procedure,CPT4
19077461,51672406301,fluorouracil 50 MG/ML Topical Solution,chemo,Drug,NDC
40224789,59762374201,medroxyprogesterone acetate 10 MG Oral Tablet,chemo,Drug,NDC
1436683,93078205,Tamoxifen 20 MG Oral Tablet,chemo,Drug,NDC
19007300,21695082940,Fluorouracil 50 MG/ML Topical Cream,chemo,Drug,NDC
19028312,703480503,Mesna 100 MG/ML Injectable Solution,chemo,Drug,NDC
19075392,63323010365,cisplatin 1 MG/ML Injectable Solution,chemo,Drug,NDC
19125747,65162080551,temozolomide 180 MG Oral Capsule,chemo,Drug,NDC
35604082,47335017640,oxaliplatin 50 MG Injection,chemo,Drug,NDC
40757004,25071,"Excision, tumor, soft tissue of forearm and/or wrist area, subcutaneous; 3 cm or greater",surgery,Procedure,CPT4
19079140,25021045505,octreotide 1 MG/ML Injectable Solution,chemo,Drug,NDC
2108492,38792,Injection procedure; radioactive tracer for identification of sentinel node,surgery,Procedure,CPT4
19026977,59572041028,lenalidomide 10 MG Oral Capsule [Revlimid],chemo,Drug,NDC
1378385,172375675,Paclitaxel 6 MG/ML Injectable Solution [Onxol],chemo,Drug,NDC
35605198,63323014801,1 ML vinorelbine 10 MG/ML Injection,chemo,Drug,NDC
40238181,85128703,peginterferon alfa-2b 0.3 MG Injection [Sylatron],chemo,Drug,NDC
35604087,J9062,"Cisplatin, 50 mg (Deprecated)",chemo,Drug,HCPCS
40168052,81013093,Melphalan 5 MG/ML Injectable Solution [Alkeran I.V.],chemo,Drug,NDC
